Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 1000 rows, 1300 columns and 1000 nonzeros
Model fingerprint: 0xcab6f26f
Variable types: 1000 continuous, 300 integer (300 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [9e-06, 1e+00]
Found heuristic solution: objective -1.01138e+15
Presolve removed 1000 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1300 columns, 0 nonzeros
Variable types: 1000 continuous, 300 integer (300 binary)
Found heuristic solution: objective -1.01138e+15

Root relaxation: objective 4.249407e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  7733  1529 246952.246   20  136 246941.036 247231.261  0.12%   129 1245s
  7784  1527 246945.777   25  121 246941.036 247229.716  0.12%   129 1250s
  7814  1526 247065.154   26  125 246941.036 247228.973  0.12%   129 1256s
  7853  1530     cutoff   25      246941.036 247227.692  0.12%   128 1260s
  7898  1533 246963.669   28  120 246941.036 247226.902  0.12%   128 1265s
  7945  1532 246975.064   26  114 246941.036 247225.794  0.12%   128 1270s
  7984  1532 246965.747   22  132 246941.036 247224.426  0.11%   128 1275s
  8032  1526 247065.711   27  112 246941.036 247222.220  0.11%   129 1280s
  8080  1520 247095.667   20  154 246941.036 247221.625  0.11%   129 1285s
  8111  1522 247013.765   23  118 246941.036 247220.574  0.11%   128 1292s
  8132  1519 247125.833   19  152 246941.036 247218.769  0.11%   129 1295s
  8175  1518 247002.933   24  128 246941.036 247217.940  0.11%   129 1300s
  8216  1520 246942.956   22  124 246941.036 247217.053  0.11%   129 1305s
  8251  1514 246984.093   23  135 246941.036 247215.989  0.11%   129 1310s
  8299  1515 247022.054   23  131 246941.036 247214.431  0.11%   129 1315s
  8343  1510 247115.846   25  117 246941.036 247213.990  0.11%   129 1320s
  8359  1510 247065.336   22  133 246941.036 247213.759  0.11%   129 1328s
  8372  1510 246948.015   22  136 246941.036 247213.480  0.11%   129 1330s
  8412  1514 247035.155   29  113 246941.036 247211.704  0.11%   129 1335s
  8420  1511 246973.781   29  118 246941.036 247210.704  0.11%   129 1340s
  8460  1510 247004.762   22  138 246941.036 247209.557  0.11%   129 1345s
  8519  1511 247039.195   20  133 246941.036 247208.528  0.11%   129 1350s
  8562  1512 246950.645   31   98 246941.036 247207.415  0.11%   129 1355s
